siteReportId;conversationId;questionnaireId;dateReceived;dateReceivedDisplay;clientId;locationId;clientName;questionAnswer1;questionAnswer2;questionAnswer3;questionAnswer4;nPSQuestionAnswer;feedbackQuestionAnswer;submitForReward;madeOrIntentToMakePurchase;RegionID;Industry
55705;74089;24;2023-01-17 17:55:07.2666667 -05:00;2023/01/17 17:55;156;263;Client 3;10;10;10;10;10;Neutral ;VERDADERO;1;5;5
55704;74088;36;2023-01-17 17:51:30.1333333 -05:00;2023/01/17 17:51;156;263;Client 3;7;2;2;10;10;Neutral ;VERDADERO;1;5;5
55703;74086;24;2023-01-17 17:48:25.6766667 -05:00;2023/01/17 17:48;156;270;Client 3;10;10;10;10;10;Neutral ;VERDADERO;1;3;5
55702;74085;24;2023-01-17 17:44:30.1133333 -05:00;2023/01/17 17:44;156;270;Client 3;10;10;10;10;10;Neutral ;VERDADERO;0;3;5
55701;74084;39;2023-01-17 17:43:23.0633333 -05:00;2023/01/17 17:43;567;1137;Client 7;7;6;5;5;6;Neutral ;FALSO;1;14;5
55700;74080;30;2023-01-17 16:04:34.7133333 -06:00;2023/01/17 16:04;575;341;Client 5;10;8;8;9;9;The worker named Keira was extra helpful and friendly;VERDADERO;1;9;5
55699;74078;36;2023-01-17 16:59:04.4900000 -05:00;2023/01/17 16:59;156;282;Client 3;6;2;2;4;5;It would be nice if the clothing was better organized between men/women and boys/girls as well as sizing;VERDADERO;1;3;5
55698;74077;30;2023-01-17 15:57:36.9566667 -06:00;2023/01/17 15:57;575;339;Client 5;10;10;10;10;10;Good;VERDADERO;1;9;5
55697;74075;36;2023-01-17 15:55:24.7400000 -06:00;2023/01/17 15:55;156;254;Client 3;10;2;2;7;10;Please Make the special items at the back of the cashier available to the customers without needing to ask the cashiers and the prices visible when it is inside the glass cabinet.;FALSO;1;4;5
55696;74074;39;2023-01-17 16:48:10.9566667 -05:00;2023/01/17 16:48;567;1167;Client 7;10;8;8;8;9;Neutral ;FALSO;1;14;5
55695;74073;24;2023-01-17 16:48:02.0300000 -05:00;2023/01/17 16:48;156;257;Client 3;8;7;7;9;8;Neutral ;VERDADERO;1;5;5
55694;74072;36;2023-01-17 16:43:04.5100000 -05:00;2023/01/17 16:43;156;281;Client 3;8;1;2;8;4;Neutral ;VERDADERO;1;3;5
55693;74070;24;2023-01-17 16:25:35.0333333 -05:00;2023/01/17 16:25;156;76;Client 3;10;10;1;10;10;Gentleman who greeted me and handled the donation, Norman, was pleasant, and polite.  He was immediately available to facilitate my donation, and gave me a tax receipt.  A very quick and efficient experience.;FALSO;0;6;5
55692;74069;36;2023-01-17 16:23:22.2266667 -05:00;2023/01/17 16:23;156;71;Client 3;9;2;2;4;6;If client is about helping the less fortunate, don't make prices for things you got for free so high that the less fortunate can't afford them.;VERDADERO;1;5;5
55691;74067;30;2023-01-17 15:14:18.8433333 -06:00;2023/01/17 15:14;575;350;Client 5;8;4;6;6;8;Neutral ;VERDADERO;1;10;5
55690;74066;36;2023-01-17 16:14:12.7833333 -05:00;2023/01/17 16:14;156;274;Client 3;10;2;3;10;10;Neutral ;VERDADERO;1;3;5
55689;74065;30;2023-01-17 15:08:13.7566667 -06:00;2023/01/17 15:08;575;350;Client 5;8;7;6;7;8;Neutral ;FALSO;1;10;5
55739;74137;36;2023-01-17 16:00:00.0000000 -05:00;2023/01/17 16:00 (1);156;281;Client 3;7;2;2;10;10;Neutral ;VERDADERO;1;3;5
55874;74317;36;2023-01-17 16:00:00.0000000 -05:00;2023/01/17 16:00 (2);156;281;Client 3;10;1;2;7;10;Neutral ;VERDADERO;1;3;5
55870;74313;36;2023-01-17 16:00:00.0000000 -05:00;2023/01/17 16:00;156;72;Client 3;5;1;3;5;5;Neutral ;VERDADERO;1;6;5
55688;74063;40;2023-01-17 15:52:16.9533333 -05:00;2023/01/17 15:52;567;1147;Client 7;10;10;10;10;10;Neutral ;VERDADERO;1;13;5
55687;74062;39;2023-01-17 15:47:09.4800000 -05:00;2023/01/17 15:47;567;1147;Client 7;9;9;9;10;10;A lot of the time the shelves are pretty bare;VERDADERO;1;13;5
